County,Char_1,Char_2,Char_3
"AutaugaCounty,Alabama",274,0.00866,35000
"BaldwinCounty,Alabama",297,0.00872,197000
"BarbourCounty,Alabama",111,0.00189,30000
"BibbCounty,Alabama",293,0.00666,173000
"BlountCounty,Alabama",292,0.00846,47000
"BullockCounty,Alabama",369,0.00452,35000
"ButlerCounty,Alabama",339,0.00828,37000
"CalhounCounty,Alabama",294,0.0085,160000
"ChambersCounty,Alabama",148,0.00056,159000
"CherokeeCounty,Alabama",171,0.00985,69000
"ChiltonCounty,Alabama",178,0.00043,134000
"ChoctawCounty,Alabama",267,0.00419,109000
"ClarkeCounty,Alabama",342,0.00028,42000
"ClayCounty,Alabama",152,0.0075,137000
"CleburneCounty,Alabama",241,0.0091,80000
"CoffeeCounty,Alabama",431,0.00489,106000
"ColbertCounty,Alabama",314,0.00015,68000
"ConecuhCounty,Alabama",491,0.00958,14000
"CoosaCounty,Alabama",271,0.00614,169000
"CovingtonCounty,Alabama",319,0.00352,154000
"CrenshawCounty,Alabama",222,0.00711,191000
"CullmanCounty,Alabama",169,0.0026,175000
"DaleCounty,Alabama",494,0.00996,195000
"DallasCounty,Alabama",204,0.00529,169000
"DeKalbCounty,Alabama",205,0.00411,147000
"ElmoreCounty,Alabama",455,0.00373,68000
"EscambiaCounty,Alabama",196,0.00391,130000
"EtowahCounty,Alabama",461,0.00654,191000
"FayetteCounty,Alabama",197,0.00464,192000
"FranklinCounty,Alabama",226,0.00537,146000
"GenevaCounty,Alabama",379,0.00751,48000
"GreeneCounty,Alabama",120,0.00668,34000
"HaleCounty,Alabama",353,0.00357,17000
"HenryCounty,Alabama",235,0.00913,74000
"HoustonCounty,Alabama",160,0.00112,84000
"JacksonCounty,Alabama",457,0.00189,109000
"JeffersonCounty,Alabama",282,0.00684,136000
"LamarCounty,Alabama",205,0.00527,160000
"LauderdaleCounty,Alabama",435,0.00602,118000
"LawrenceCounty,Alabama",320,0.00897,193000
"LeeCounty,Alabama",363,0.00248,128000
"LimestoneCounty,Alabama",317,0.00256,185000
"LowndesCounty,Alabama",303,0.00306,138000
"MaconCounty,Alabama",138,0.00988,67000
"MadisonCounty,Alabama",437,0.00534,27000
"MarengoCounty,Alabama",446,0.00492,10000
"MarionCounty,Alabama",247,0.00065,47000
"MarshallCounty,Alabama",378,0.00806,137000
"MobileCounty,Alabama",494,0.00665,153000
"MonroeCounty,Alabama",156,0.00472,179000
"MontgomeryCounty,Alabama",476,0.00003,105000
"MorganCounty,Alabama",446,0.00228,189000
"PerryCounty,Alabama",176,0.00091,178000
"PickensCounty,Alabama",404,0.00787,113000
"PikeCounty,Alabama",157,0.00884,182000
"RandolphCounty,Alabama",266,0.00839,50000
"RussellCounty,Alabama",151,0.00894,181000
"SaintClairCounty,Alabama",301,0.00108,26000
"ShelbyCounty,Alabama",401,0.00255,21000
"SumterCounty,Alabama",493,0.00573,27000
"TalladegaCounty,Alabama",199,0.00097,110000
"TallapoosaCounty,Alabama",207,0.00304,117000
"TuscaloosaCounty,Alabama",259,0.00202,80000
"WalkerCounty,Alabama",286,0.00962,153000
"WashingtonCounty,Alabama",269,0.0038,164000
"WilcoxCounty,Alabama",206,0.00548,15000
"WinstonCounty,Alabama",488,0.00798,148000
"AleutiansEastBorough,Alaska",114,0.00297,188000
"AleutiansWestCensusArea,Alaska",139,0.00602,160000
"AnchorageMunicipality,Alaska",490,0.0001,120000
"BethelCensusArea,Alaska",214,0.00695,47000
"BristolBayBorough,Alaska",111,0.00384,55000
"DenaliBorough,Alaska",256,0.00299,68000
"DillinghamCensusArea,Alaska",432,0.00447,53000
"FairbanksNorthStarBorough,Alaska",340,0.00185,197000
"HainesBorough,Alaska",477,0.00422,151000
"Hoonah-AngoonCensusArea,Alaska",382,0.006,65000
"JuneauCityandBorough,Alaska",493,0.00903,131000
"KenaiPeninsulaBorough,Alaska",456,0.00165,80000
"KetchikanGatewayBorough,Alaska",191,0.00991,174000
"KodiakIslandBorough,Alaska",410,0.00683,47000
"KusilvakCensusArea,Alaska",219,0.00842,174000
"LakeandPeninsulaBorough,Alaska",273,0.00096,136000
"Matanuska-SusitnaBorough,Alaska",238,0.00484,56000
"NomeCensusArea,Alaska",224,0.00253,189000
"NorthSlopeBorough,Alaska",415,0.00427,119000
"NorthwestArcticBorough,Alaska",484,0.00365,167000
"PetersburgBorough,Alaska",161,0.00701,169000
"PrinceofWales-HyderCensusArea,Alaska",196,0.00899,181000
"SitkaCityandBorough,Alaska",345,0.0084,106000
"SkagwayMunicipality,Alaska",142,0.00696,156000
"SoutheastFairbanksCensusArea,Alaska",303,0.00992,186000
"Valdez-CordovaCensusArea,Alaska",306,0.00534,158000
"WrangellCityandBorough,Alaska",496,0.00542,68000
"YakutatCityandBorough,Alaska",307,0.00768,152000
"Yukon-KoyukukCensusArea,Alaska",335,0.00656,64000
"ApacheCounty,Arizona",431,0.00592,39000
"CochiseCounty,Arizona",373,0.00376,174000
"CoconinoCounty,Arizona",174,0.00981,65000
"GilaCounty,Arizona",322,0.00071,130000
"GrahamCounty,Arizona",463,0.00432,10000
"GreenleeCounty,Arizona",133,0.00196,94000
"LaPazCounty,Arizona",286,0.00718,141000
"MaricopaCounty,Arizona",125,0.00611,184000
"MohaveCounty,Arizona",453,0.0032,47000
"NavajoCounty,Arizona",297,0.00272,49000
"PimaCounty,Arizona",442,0.00737,90000
"PinalCounty,Arizona",264,0.00752,32000
"SantaCruzCounty,Arizona",119,0.00747,133000
"YavapaiCounty,Arizona",253,0.00426,141000
"YumaCounty,Arizona",324,0.0073,179000
"ArkansasCounty,Arkansas",371,0.00284,84000
"AshleyCounty,Arkansas",172,0.00688,18000
"BaxterCounty,Arkansas",310,0.00391,83000
"BentonCounty,Arkansas",291,0.00072,43000
"BooneCounty,Arkansas",413,0.00049,101000
"BradleyCounty,Arkansas",133,0.00092,120000
"CalhounCounty,Arkansas",387,0.00941,172000
"CarrollCounty,Arkansas",382,0.00087,17000
"ChicotCounty,Arkansas",339,0.00161,21000
"ClarkCounty,Arkansas",339,0.00914,142000
"ClayCounty,Arkansas",206,0.00109,54000
"CleburneCounty,Arkansas",280,0.00539,106000
"ClevelandCounty,Arkansas",324,0.00224,28000
"ColumbiaCounty,Arkansas",418,0.00354,38000
"ConwayCounty,Arkansas",271,0.0059,157000
"CraigheadCounty,Arkansas",220,0.00083,117000
"CrawfordCounty,Arkansas",113,0.00755,89000
"CrittendenCounty,Arkansas",392,0.00482,180000
"CrossCounty,Arkansas",468,0.00215,81000
"DallasCounty,Arkansas",271,0.00735,128000
"DeshaCounty,Arkansas",462,0.00526,75000
"DrewCounty,Arkansas",488,0.00769,31000
"FaulknerCounty,Arkansas",491,0.00913,95000
"FranklinCounty,Arkansas",492,0.00714,195000
"FultonCounty,Arkansas",101,0.00345,90000
"GarlandCounty,Arkansas",490,0.00473,172000
"GrantCounty,Arkansas",378,0.00348,167000
"GreeneCounty,Arkansas",105,0.00046,21000
"HempsteadCounty,Arkansas",310,0.00485,75000
"HotSpringCounty,Arkansas",483,0.00709,60000
"HowardCounty,Arkansas",479,0.00843,86000
"IndependenceCounty,Arkansas",335,0.00967,85000
"IzardCounty,Arkansas",103,0.00683,53000
"JacksonCounty,Arkansas",327,0.00477,112000
"JeffersonCounty,Arkansas",118,0.00467,45000
"JohnsonCounty,Arkansas",275,0.00698,149000
"LafayetteCounty,Arkansas",456,0.00671,63000
"LawrenceCounty,Arkansas",217,0.00235,67000
"LeeCounty,Arkansas",364,0.00301,50000
"LincolnCounty,Arkansas",132,0.00142,143000
"LittleRiverCounty,Arkansas",247,0.00401,122000
"LoganCounty,Arkansas",104,0.00496,131000
